id,name,lat,long,addr:street,addr:housenumber,addr:city,addr:postcode,cuisine_or_amenity,opening_hours
29801740,McDonald's,16.3949572,48.2334596,Handelskai,130,Wien,1020,fast_food,Mo-Su 07:00-01:00
55411636,Maya Garden,16.4293627,48.2087288,Handelskai,343,Wien,1020,restaurant,
259640958,Kaffeeamt,16.3735819,48.2186915,Franz-Hochedlinger-Gasse,16,Wien,1020,cafe,"Mo,We-Fr 08:00-17:30; Sa,Su,PH 09:00-17:30; Tu off"
259641273,Schöne Perle,16.3772145,48.2187616,Große Pfarrgasse,2,Wien,1020,austrian,Mo-Fr 11:00-24:00; Sa-Su 10:00-24:00
267275362,Jazzclub ZWE,16.3748262,48.2162906,Floßgasse,4,Wien,1020,pub,
268500778,Ice & Friends,16.398612,48.2062043,Wittelsbachstraße,3,Wien,1020,restaurant,
307643605,Il Basilico,16.3702998,48.2257315,Gaußplatz,1,Wien,1020,italian,"We-Sa 12:00-14:30,18:00-23:00; PH,Su 12:00-22:00"
316011440,Gasthaus Hansy,16.3900848,48.2179959,Praterstraße,67,Wien,1020,regional,11:00-23:00
316012422,Tachles,16.3799073,48.2154908,Karmeliterplatz,1,Wien,1020,pub,Mo-We 16:00-23:00; Th-Sa 16:00-24:00
316683922,Va bene,16.4518997,48.1934139,Dammhaufengasse,50,Wien,1020,restaurant,
323060577,Zum Friedensrichter,16.3729473,48.2181919,Obere Donaustraße,57,Wien,1020,regional,"Mo-Fr 15:00-23:00; Sa, Su, PH off"
323060590,Zum Sieg,16.3790953,48.2178752,Haidgasse,8,Wien,1020,regional,"Mo,Tu,Th,Fr 11:00-23:00; We 16:00-23:00; Sa 11:00-15:00"
323060637,Pancho,16.3814042,48.2190357,Taborstraße,44,Wien,1020,mexican,Mo-Th 17:00-01:00; Fr-Sa 17:00-02:00; Su 12:00-00:00
335933214,Eatalico,16.3839082,48.214845,Praterstraße,29,Wien,1020,italian;pizza,Mo-Su 11:30-23:00
335937019,Contor,16.3777554,48.2168765,Krummbaumgasse,3,Wien,1020,spanish,"PH,Mo-Su 17:00-24:00"
336244940,Am Nordpol,16.381911,48.2266846,Nordwestbahnstraße,17,Wien,1020,bohemian,"Mo-Fr 17:00-23:30; Sa,Su,PH 12:00-23:30"
336250391,Die Schankwirtschaft,16.3740898,48.2243371,Obere Augartenstraße,1,Wien,1020,regional,Mo-Su 10:00-22:00
337947384,Crowns and Swords,16.3803407,48.2190673,Obere Augartenstraße,72,Wien,1020,pub,Tu-Sa 17:00-01:00
337947389,Crown and Sword,16.3802285,48.219179,Obere Augartenstraße,72,Wien,1020,bar,Tu-Sa 17:00-01:00
338470656,Nestroy,16.3844236,48.2153641,Schrottgießergasse,5,Wien,1020,restaurant,
338470657,Das GEHSTEIG,16.3833419,48.2158334,Schmelzgasse,14,Wien,1020,pub,"Mo-Sa 17:00-01:00, Su 17:00-24:00, PH 17:00-24:00"
338470662,Schank zum Reichsapfel,16.3795337,48.216106,Karmeliterplatz,3,Wien,1020,heuriger,PH off; Tu-Sa 16:00-23:00
338470665,Soosser Weinhaus,16.3800679,48.2164969,Karmelitergasse,11,Wien,1020,regional,"Mo-Fr 10:00-21:00; Sa 10:00-16:00; PH,Su off"
338470667,Bahur Tov,16.3805363,48.2165769,Taborstraße,21,Wien,1020,israeli,Mo-Th 16:00-22:00; Su 13:00-22:00
338470669,das kraus,16.3782411,48.2188596,Große Sperlgasse,37,Wien,1020,restaurant,"Mo-Sa 10:00-01:00, PH,Su 10:00-22:00"
338470672,Zimmer 37,16.377265,48.2174379,Karmelitermarkt,,Wien,1020,5-Elemente,Tu-Th 10:30-18:00; Fr 08:30-18:00; Mo off; Sa 08:30-14:00
338470676,6er Haus,16.3774265,48.2171591,Karmelitermarkt,,Wien,1020,pub,Mo-Sa 09:00-23:00; Su 09:00-19:00
338470684,Café Einfahrt,16.3770997,48.2179296,Leopoldsgasse,30,Wien,1020,cafe,"Mo-Fr 10:00-25:00; Sa, PH 08:00-25:00; Su 08:00-23:00"
338470686,Fliegender Holländer,16.3766403,48.215232,Hollandstraße,8,Wien,1020,restaurant,"Mo-Fr 08:00-02:00; Sa, Su, PH 17:00-02:00"
338470689,Naschkätzchen,16.3806455,48.217096,Taborstraße,23,Wien,1020,cafe,
338473232,Brendl,16.3784001,48.2160352,Große Sperlgasse,2,Wien,1020,pub,"Su-Th 17:00-01:00, Fr,Sa 17:00-02:00"
338473236,Hammond,16.3804725,48.2184281,Taborstraße,35,Wien,1020,bar,Mo-Th 17:00-03:00; Fr 17:00-04:00; Sa 19:00-04:00; Su 19:00-02:00
344491374,Indische Spezialitäten Arbaillo,16.3720274,48.2199545,Untere Augartenstraße,10,Wien,1020,pizza,"Su-Fr, PH 10:30-22:00; Sa 15:30-22:00"
345758417,Cafe Alex,16.4067943,48.2189029,Stuwerstraße,47,Wien,1020,pub,Mo-Sa 07:00-22:00
348374193,Nikita dal Russo,16.4023446,48.2239842,Lassallestraße,42,Wien,1020,italian,"Mo-Su,PH 11:00-23:00"
354501505,The View,16.4074979,48.2247587,Mexikoplatz,9,Wien,1020,restaurant,
356892384,Donaubeisl,16.4014682,48.2256936,Vorgartenstraße,175,Wien,1020,regional,
356892391,Cafe Vienna,16.4117035,48.2185951,Engerthstraße,231-233,Wien,1020,cafe,Mo 09:00-20:00; Tu-Fr 08:00-20:00; Sa 09:00-15:00; Su off
366220354,Konditorei Am Park,16.4000289,48.2211808,Max-Winter-Platz,8,Wien,1020,cafe,"Mo,We-Su,PH 09:00-21:00"
