id,name,lat,long,addr:street,addr:housenumber,addr:city,addr:postcode,cuisine_or_amenity,opening_hours
46823888,Heidingers Gasthaus,16.3230031,48.1982314,Selzergasse,38,Wien,1150,regional,"PH,Sa,Su off, Mo-Fr 17:30-22:00, Tu-Fr 11:30-14:30"
46823910,Pizzeria Ramazotti,16.320545,48.1974813,Meiselstraße,13,Wien,1150,pizza,Mo-Fr 11:00-15:00
46823914,Meiselmarkt Cafe-Pub,16.3208687,48.1974616,Wurmsergasse,30-34,Wien,1150,cafe,Mo-Su 07:00-22:00
46823935,Ohrid,16.3237054,48.198588,Hütteldorfer Straße,77,Wien,1150,barbecue,Mo-Su 10:00-22:00
46823962,Sefa Grill Restaurant & Cafe,16.3208483,48.199091,Hütteldorfer Straße,66,Wien,1150,restaurant,"Mo-Su,PH 08:00-22:00"
46823965,Eissslon Daniel,16.3200304,48.1991336,Hütteldorfer Straße,70,Wien,1150,ice_cream,Tu-Fr 10:00-19:00; Sa 10:00-18:00
138297090,Rosi,16.3220342,48.1862746,Sechshauser Straße,120,Wien,1150,restaurant,We 17:30-22:00; Th-Sa 09:00-22:00
252549221,Café Amadeus,16.3364734,48.2006881,Löhrgasse,24,Wien,1150,pub,"Mo-Fr 17:00-01:00; Sa 18:00-01:00; Su off; Jul, Aug Mo-Fr 17:00-01:00; Sa, Su off"
252549228,Bieriger,16.3271189,48.1997356,Plunkergasse,1,Wien,1150,regional,"Mo-Th,Su 10:00-24:00; Fr-Sa 10:00-01:00"
252549230,Kent,16.3290047,48.1983822,Benedikt-Schellinger-Gasse,21,Wien,1150,turkish,"Mo-Fr 07:00-24:00, Sa,Su 06:00-24:00"
289642463,Antique,16.3239493,48.1974209,Holochergasse,18,Wien,1150,cafe,"Mo-Th 12:00-24:00, Fr-Su 12:00-02:00"
289642464,Cafe-Konditorei Angelmayer,16.3198076,48.1980768,Meiselmarkt,T,Wien,1150,cafe,Mo-Fr 07:00-18:00; Sa 07:00-13:00
297160436,Pelmen Cafe,16.3207522,48.1898765,Winckelmannstraße,38,Wien,1150,cafe,Mo-Sa 10:00-20:00; Su 12:00-20:00
302734708,Madre,16.3301743,48.2017075,Markgraf-Rüdiger-Straße,12,Wien,1150,italian_pizza,We-Fr 17:00-23:00; Sa 11:30-23:00; Su 11:30-16:00
333653457,Chilinos,16.333961,48.2013383,Hütteldorfer Straße,2E,Wien,1150,pub,
440946904,Cassano,16.3257945,48.2034257,Walkürengasse,13,Wien,1150,pizza,
440956457,Burger King,16.3365185,48.2039988,Gablenzgasse,1A,Wien,1150,fast_food,Mo-Su 10:00-23:00
441075962,Pub by Charles,16.3361592,48.201731,Sorbaitgasse,3,Wien,1150,pub,
441346647,McDonald's,16.3195883,48.1988129,Hütteldorfer Straße,81B,Wien,1150,fast_food,Mo-Su 06:00-02:00
441572165,Pizza Mann,16.3339894,48.2007992,Zinckgasse,25,Wien,1150,fast_food,
441576820,Beijing Kitchen,16.337185,48.1980811,Löhrgasse,1,Wien,1150,chinese,"PH,Mo-Su 11:30-14:30,17:30-21:30"
441576825,Cafe Weingartner,16.3367173,48.1993389,Löhrgasse,13,Wien,1150,cafe,Mo-Sa 09:00-00:00; Su 14:00-00:00
441577404,Galaxie,16.3366289,48.2005011,Löhrgasse,22,Wien,1150,restaurant,Mo-Th 09:00-00:30; Fr-Sa 09:00-02:00; Su 09:00-00:30
441752543,Grand Restaurant,16.3264595,48.2016484,Schweglerstraße,55,Wien,1150,balkan;grill,"Tu-Th 10:00-21:00, Fr 10:00-23:00, Sa 11:00-02:00, Su 11:00-21:00, PH 11:00-21:00"
441752545,Camillo,16.3268084,48.2026712,Camillo-Sitte-Gasse,1,Wien,1150,restaurant,
441752555,Biofrische Restaurant,16.3253715,48.2011641,Tellgasse,30,Wien,1150,restaurant,"PH,Mo-Su 11:00-22:00"
442056679,Red Sea Restaurant,16.3351679,48.1930166,Gebrüder-Lang-Gasse,17,Wien,1150,eritrean,Mo-Th 16:00-22:00; Fr-Sa 16:00-23:00; Su 16:00-22:00
442056989,Let's Be Frank,16.3359729,48.1938209,Robert-Hamerling-Gasse,18,Wien,1150,regional;burger,"Mo,Su off; Tu-Sa 17:00-24:00"
442059975,Eissalon Garda,16.3360301,48.1947829,Kohlenhofgasse,2,Wien,1150,cafe,Mo-Sa 09:00-23:30; Su 10:00 - 23:30
442060467,Hollywood Burger,16.3355009,48.1941645,Haidmannsgasse,10,Wien,1150,fast_food,
442065626,Mariahilfer Bräu,16.3344034,48.1938763,Rosinagasse,2,Wien,1150,pub,Mo 17:00-22:00; Tu-Fr 15:00-22:00; Sa-Su 12:00-22:00
442541342,Mikes 1150,16.3368224,48.2018124,Hütteldorfer Straße,2,Wien,1150,restaurant,Mo-Su 08:00-01:00
442551000,Anatolien Cafe & Restaurant,16.335781,48.2026951,Sorbaitgasse,6,Wien,1150,kebab,Mo-Su 10:00-02:00
442972880,Pulkautaler Weinhaus,16.3380221,48.1983304,Felberstraße,2,Wien,1150,regional,Mo-Su 11:00-22:30
448887987,Gasthaus am Platzl,16.3151766,48.2038974,Mareschgasse,10,Wien,1150,restaurant,
518666024,Niški Merak,16.3318712,48.1991676,Märzstraße,29,Wien,1150,restaurant,Mo-Su 11:00-22:00
518666043,Grand,16.3306269,48.1979209,Reithofferplatz,9,Wien,1150,cafe,
622357381,Lamm - Döner Kebap & Pizza,16.3332118,48.1881809,Sechshauser Straße,36-38,Wien,1150,fast_food,
679652173,Pescaria Konoba,16.334221,48.1986419,Goldschlagstraße,22,Wien,1150,fish,"PH,Mo-Su 11:00-15:00,17:30-24:00"
693438046,Gasthaus Quell,16.3303545,48.1892483,Reindorfgasse,17,Wien,1150,restaurant,
694078151,Beats & Beans,16.3308771,48.1920222,Würffelgasse,4,Wien,1150,restaurant,
814103864,Shang Li,16.3185114,48.1976259,Johnstraße,55,Wien,1150,chinese,"11:30-15:00,17:00-23:00"
893324046,Noli,16.3174111,48.1979439,Meiselstraße,28,Wien,1150,cafe,Mo-Sa 16:00-01:00
896492823,Peters Gulyas-Beisl,16.3163417,48.1989532,Nobilegasse,55,Wien,1150,restaurant,
1134036839,Royal Grill,16.3259753,48.197523,Märzstraße,59,Wien,1150,balkan,Mo-Su 10:00-22:00
1134036840,Diwan,16.3272206,48.1978798,Stättermayergasse,23,Wien,1150,turkish,Mo-Sa 08:00-23:00
1134036844,Di Jimmy,16.3251375,48.1976634,Kardinal-Rauscher-Platz,7,Wien,1150,ice_cream,Mo-Su 08:00-22:00
1134036848,Cihan,16.3258234,48.1974863,Märzstraße,61,Wien,1150,fast_food,"Mo-Su,PH 09:00-22:00"
1134036861,Café Lorenz,16.3293931,48.1984757,Benedikt-Schellinger-Gasse,24,Wien,1150,cafe,Mo-Sa 07:00-20:00
1134036883,trend-caffè Bar,16.3317304,48.1993788,Märzstraße,36,Wien,1150,cafe,"Mo-Sa 06:00-24:00, Su,PH 08:00-24:00"
1134036889,Cafe Minero,16.3315307,48.1990895,Reithofferplatz,1,Wien,1150,cafe,"Mo-Sa 06:00-02:00, Su 07:00-02:00"
1134036892,Minero,16.3316471,48.1991128,Märzstraße,29,Wien,1150,cafe,
1134036897,Fa. Geissler,16.3269676,48.1980563,Märzstraße,58,Wien,1150,fast_food,
1134036908,Wok Imbiss,16.3285843,48.1984964,Märzstraße,48,Wien,1150,fast_food,Mo-Su 11:00-22:00
1134036920,Eis-Cafe Kent,16.3287202,48.1983141,Märzstraße,41,Wien,1150,cafe,
1192826640,Café San Marco,16.336981,48.2008367,Märzstraße,2,Wien,1150,bar,"Mo-Th 06:00-01:00, Fr,Sa 06:00-02:00, Su,PH 08:00-01:00"
1312933786,Hawidere,16.3339482,48.1877536,Ullmannstraße,31,Wien,1150,burger,Mo-Su 16:00-24:00
1377593235,Sechshauserwirt,16.3246322,48.1864241,Hollergasse,20,Wien,1150,regional,Mo-Su 07:00-23:00
