id,name,lat,long,addr:street,addr:housenumber,addr:city,addr:postcode,cuisine_or_amenity,opening_hours
76469902,Pizzeria Eduardo,16.3926105,48.2089007,Löwengasse,31A,Wien,1030,pizza,11:00-23:00
76656467,Gasthaus Wild,16.3898294,48.2105958,Radetzkyplatz,1,Wien,1030,restaurant,Tu-Sa 11:30-00:00; Su 11:30-22:30
115212652,Hitomi,16.3972629,48.1941577,Oberzellergasse,2,Wien,1030,fast_food,Tu-Su 11:30-22:00; Mo off
115513011,aïda,16.3956178,48.1968722,Juchgasse,2,Wien,1030,cafe,"Mo-Fr 07:00-19:00; Sa 08:00-19:00; Su, PH 09:00-19:00; Jul-Aug Mo-Fr 07:00-18:00; Jul-Aug Sa 08:00-18:00; Jul-Aug Su, PH 09:00-18:00"
119371746,Salm Bräu,16.3809023,48.1965909,Rennweg,8,Wien,1030,regional;austrian;local,Mo-Su 11:00-23:00
154622635,Schrammel & Schrammel,16.3992874,48.2006792,Göllnergasse,8,Wien,1030,restaurant,
154622735,Keiner Stuben,16.3995623,48.19872,Erdbergstraße,78,Wien,1030,restaurant,Mo-Fr 10:30-22:00; Su 10:30-21:00
223580185,Cookie,16.4026993,48.2003108,Dietrichgasse,25,Wien,1030,cafe,
236858381,Sultans,16.3989834,48.1979299,Hainburger Straße,58,Wien,1030,levantine,Mo-Sa 09:00-24:00
244492645,Kala's Imbiss-Paradies,16.4003777,48.1996218,Hagenmüllergasse,5,Wien,1030,fast_food,Mo-Su 11:00-23:50
250380570,Bui Vien Street,16.3960768,48.20374,Hörnesgasse,17,Wien,1030,vietnamese,"Mo off; Di-Mi 12:00-22:00; Do-Sa, 12:00-23:00, Su 15:00-22:00, PH 17:00-22:00"
264606980,Gmiatliches Eck,16.3989407,48.1983004,Keinergasse,4,Wien,1030,cafe,Mo-Fr 07:00-22:00; Sa 08:00-12:00
293142047,La Sera,16.4013661,48.1983562,Rüdengasse,16,Wien,1030,fast_food,
299893744,Kardinal Imbiss,16.4013123,48.1983019,Rüdengasse,16,Wien,1030,fast_food,
333672130,Meierei im Stadtpark,16.3812793,48.2044602,Am Heumarkt,2A,Wien,1030,regional,"Mo-Fr 08:00-23:00; Sa 09:00-19:00; PH,Su off"
338525606,libelle,16.4063771,48.1946601,Schlachthausgasse,24-24A,Wien,1030,cafe,
340216977,Li Palace,16.3991331,48.1996997,Erdbergstraße,53,Wien,1030,asian,We-Mo 11:30-23:00; Tu 15:00-23:00
340833248,Noodles Box,16.4000705,48.1988173,Erdbergstraße,59,Wien,1030,fast_food,"Mo-Fr 11:00-21:00; PH,Sa,Su 12:00-22:00"
342299597,Zur Gruab'n,16.3879434,48.2077326,Untere Viaduktgasse,41,Wien,1030,restaurant,Mo-Fr 10:00-23:30
342301304,Stadtwirt,16.3876568,48.2072016,Untere Viaduktgasse,45,Wien,1030,restaurant,Mo-Fr 11:00-24:00
342301942,WIST,16.3876355,48.2097742,Hetzgasse,3A,Wien,1030,restaurant,Mo-Fr 10:30-21:30
342302681,Sophienbeisl,16.3909261,48.2076152,Seidlgasse,11,Wien,1030,restaurant,Mo-Fr 11:00-22:00
342303156,Hitomi,16.3892962,48.2067532,Marxergasse,20,Wien,1030,sushi;noodle,"PH,Su-Fr 11:30-22:30"
342303837,Shoyu Pan,16.3883099,48.2068263,Marxergasse,12,Wien,1030,japanese;ramen,"Tu-Th 11:30-21:00, Fr-Sa 11:30-22:00"
342304875,Asia Paradies,16.3881237,48.2057349,Gärtnergasse,9,Wien,1030,asian,"Mo-Su 11:30-15:00, Mo-Sa 17:30-22:30"
342305562,Hemmers,16.3878077,48.2057092,Gärtnergasse,12,Wien,1030,regional,Mo 17:00-23:00; Tu-Fr 11:00-23:00
342305687,Marco Polo,16.3844561,48.2056647,Landstraßer Hauptstraße,2A,Wien,1030,asian,11:00-22:30
342306706,Cafe & Restaurant Ascot,16.3859752,48.2061401,Ditscheinergasse,2,Wien,1030,cafe,Mo-Su 08:00-24:00
342306957,Starbucks,16.3858227,48.2058773,Landstraßer Hauptstraße,3,Wien,1030,cafe,"Mo-Fr 06:00-21:00; Sa,Su 07:00-21:00"
342308867,Zum goldenen Löwen,16.3929011,48.2083108,Löwengasse,24,Wien,1030,italian,Mo-Su 11:00-23:00
