id,name,lat,long,addr:street,addr:housenumber,addr:city,addr:postcode,cuisine_or_amenity,opening_hours
265002408,Bäckerei Schwarz,16.2709478,48.1908244,Auhofstraße,138,Wien,1130,cafe,Mo-Sa 06:00-19:00; Su 08:00-19:00
265002900,Felber,16.2670772,48.1881333,Firmiangasse,2,Wien,1130,cafe,
288643493,Waldtzeile,16.2846459,48.1732175,Eduard-Jaeger-Gasse,1,Wien,1130,regional,Tu-Sa 11:30-21:30; Su 11:30-15:00
290481672,Wambacher,16.2845368,48.1788853,Lainzer Straße,121,Wien,1130,austrian;local;regional,11:00-24:00
334793287,Café Dommayer,16.2989586,48.1871017,Auhofstraße,2,Wien,1130,cafe,"Mo-Su,PH 07:30-20:30"
334795583,Restaurant Plachutta Stammhaus Hietzing,16.2984707,48.1867355,Auhofstraße,1-3,Wien,1130,regional;international,"PH,Mo-Su 11:30-20:00+"
334800902,Della Lucia,16.3026844,48.1870946,Hietzinger Hauptstraße,8,Wien,1130,cafe,11:00-23:00
373550674,Brandauers Schlossbräu,16.300751,48.1858066,Am Platz,5,Wien,1130,regional,10:00-01:00
430383191,Urban Brothers,16.267145,48.1872053,Einsiedeleigasse,7,Wien,1130,pizza,Mo-Su 11:00-22:45
430384039,NARA Sushi,16.2672566,48.1872682,Einsiedeleigasse,7,Wien,1130,asian,"PH,Mo-Su 11:00-22:00"
430384865,Delphi,16.2732066,48.1780113,Rotenberggasse,4,Wien,1130,greek,Tu-Sa 11:30-23:00; Su 11:30-22:00
430388313,Kleine Ober St. Veiter Bierstube,16.2678988,48.1898635,Firmiangasse,23,Wien,1130,pub,
430388832,Punto Rosso,16.2672127,48.1887665,Firmiangasse,5,Wien,1130,"italian,pizza,pasta",
443221943,Café Gloriette,16.3085818,48.178268,Schloß Schönbrunn,S,Wien,1130,cafe,"Mo-Su,PH 09:00-20:00"
449210154,Per Du,16.2918774,48.1712335,Wattmanngasse,111,Wien,1130,cafe,
451731690,Akakiko,16.3014198,48.1856231,Am Platz,2,Wien,1130,japanese,"Mo-Su,PH 10:30-23:30"
538383574,Da Ferdinando,16.2994549,48.1865619,Hietzinger Hauptstraße,26,Wien,1130,italian_pizza,Mo-Su 11:00-23:00
543402668,Sang Sang Hietzing,16.3020655,48.1863401,Hietzinger Hauptstraße,neben 10-16,Wien,1130,restaurant,"Tu-Sa 12:00-22:00; Su,PH 12:00-21:00"
611890965,Café am Platz,16.3010719,48.185979,Hietzinger Hauptstraße,1,Wien,1130,cafe,"Mo-Fr 07:00-20:00, Sa 08:00-20:00, Su 08:00-19:00"
611890966,aïda,16.3010448,48.1854384,Am Platz,3,Wien,1130,cafe,"Mo-Fr 08:00-18:30, Sa 08:30-19:00, Su,PH 09:00-18:00"
727633539,Cafe 1130,16.2794548,48.163427,Speisinger Straße,102,Wien,1130,cafe,10:00-22:00
727641972,Café Gold Wettpunkt,16.2789749,48.1628576,Speisinger Straße,106,Wien,1130,pub,"Mo-Fr 07:00-22:00; Sa 08:00-21:00; Su,PH 09:00-21:00"
766034545,Landtmann's Parkcafé,16.3092951,48.1818099,Maxingstraße,13B,Wien,1130,cafe,Mo-Su 09:00-18:00
805972617,Mario,16.2982796,48.186391,Lainzer Straße,2,Wien,1130,restaurant,
810608203,La Grappa,16.2979854,48.1872889,Auhofstraße,6B,Wien,1130,italian,Mo-Su 11:30-23:00
836868334,Café Restaurant ORANG.ERIE,16.3003769,48.1835732,Maxingstraße,13A,Wien,1130,restaurant,
861967279,Schoko & Fiocco,16.2838619,48.1871852,Hietzinger Hauptstraße,69,Wien,1130,ice_cream,Mo-Su 11:00-21:00
899114348,Otto,16.3005867,48.1865482,Hietzinger Hauptstraße,20,Wien,1130,restaurant,"We-Sa 07:00-23:00; Su,PH 07:00-21:00"
911164843,Seidel,16.2814736,48.1874758,Hietzinger Hauptstraße,90,Wien,1130,fast_food,
1254416769,Split,16.2960702,48.1703444,Hetzendorfer Straße,165-173,Wien,1130,croatian,We-Sa 17:00-22:00; Su 12:00-17:00
1262117387,Ristorante Francesco,16.2729718,48.1560914,Wittgensteinstraße,2,Wien,1130,italian,Mo-Su 11:30-23:30
1437849602,Hongpingguo,16.2738073,48.1902126,Testarellogasse,18,Wien,1130,asian,"Mo-Su,PH 12:00-14:30,17:30-22:00"
1437849747,San Giovanni,16.2737699,48.1921666,Hietzinger Kai,173,Wien,1130,pizza,
1645554194,Hackinger,16.2624963,48.1947488,Auhofstraße,186A,Wien,1130,regional,We-Su 11:00-24:00
1665276227,Schneider-Gössl Sektbar,16.2669517,48.1880272,Hietzinger Hauptstraße,153,Wien,1130,bar,
2096231625,Fontana,16.2664586,48.1930828,Hietzinger Kai,207,Wien,1130,pizza,
2096231629,What's New,16.2736794,48.1915563,Testarellogasse,31,Wien,1130,pub,Mo-Su 17:00-01:00
2100480323,Cafe-Konditorei Peter Brey,16.2812943,48.1875363,Hietzinger Hauptstraße,92,Wien,1130,cafe,
2103427100,Teenorissimo,16.2854521,48.1885142,Wittegasse,2,Wien,1130,cafe,Tu-Fr 09:00-18:00; Sa 09:00-14:00; Su-Mo off
2458558761,Das Alt - Irish Pub Hietzing,16.2988667,48.1855229,Altgasse,18,Wien,1130,pub,Mo-Su 16:00-02:00
2458558762,Honu,16.301229,48.1856531,Am Platz,3,Wien,1130,hawaiian,Mo-Fr 11:00-21:00; Sa-Su 11:30-21:30
2458558766,Restaurant Sport-Union,16.3003332,48.1852898,Altgasse,6,Wien,1130,regional,"Mo-Fr 09:00-22:00; PH,Sa,Su 09:00-15:00"
2458558769,Schaumweinhäuschen,16.2996592,48.1852274,Altgasse,9,Wien,1130,bar,"PH,Mo-Su 19:00+"
2458558771,Schlosscafé,16.3021493,48.1864777,Hietzinger Hauptstraße,10-16,Wien,1130,cafe,08:00-22:30
2537832053,Kutscher G'wölb,16.3099257,48.1865203,Schloß Schönbrunn,S,Wien,1130,restaurant,
2631754846,Trześniewski,16.2984954,48.1860411,Hietzinger Hauptstraße,19,Wien,1130,fast_food,Mo-Fr 08:30-19:00; Sa 09:00-17:00
2693105392,Demmers Teehaus,16.3003072,48.1870432,Jodlgasse,7,Wien,1130,bar,"Mo-Fr 10:00-13:00,14:00-17:00"
2694283360,Maxing Stüberl,16.300641,48.1845837,Maxingstraße,7,Wien,1130,restaurant,"Mo-Fr 17:00-24:00, Sa,Su 13:00-24:00"
2694396478,Radatz,16.3006613,48.1869366,Hietzinger Hauptstraße,22,Wien,1130,fast_food,Mo-Fr 08:30-18:30; Sa 08:30-13:00
2700279406,Bao,16.3036167,48.1875613,U-Bahn Station Hietzing,U,Wien,1130,fast_food,"Mo-Fr 11:00-24:00, Sa,Su,PH 11:00-24:00"
2700279407,Kebap,16.3036598,48.1875856,U-Bahn Station Hietzing,U,Wien,1130,fast_food,
2717549923,Café Hietzing,16.3020004,48.1833598,Maxingstraße,13B,Wien,1130,cafe,
