id,name,lat,long,addr:street,addr:housenumber,addr:city,addr:postcode,cuisine_or_amenity,opening_hours
244496431,The Lark,16.3454848,48.2072411,Lerchenfelder Straße,86,Wien,1080,restaurant,"Tu-Th 17:00-24:00; Fr,Sa 17:00-01:00"
244496511,Nguyens Phở House,16.348674,48.2066153,Lerchenfelder Straße,46,Wien,1080,vietnamese,Mo-Sa 11:00-22:00
244496574,Café Anno,16.3417966,48.2080161,Lerchenfelder Straße,130,Wien,1080,pub,Sep-Jun: Su-Th 18:00-02:00; Fr 18:00-04:00; Sa 19:00-04:00; Jul-Aug: Su-Th 20:00-02:00; Fr-Sa 20:00-04:00
244522889,Café Eiles,16.3548608,48.2093012,Landesgerichtsstraße,1,Wien,1080,cafe,"Mo-Fr 07:00-24:00; PH,Sa,Su 08:00-24:00"
257613384,Il Sestante,16.3504877,48.2105082,Piaristengasse,50,Wien,1080,pizza,Mo-Su 11:30-23:00
294137696,Treu am Platzl,16.3504188,48.2106704,Piaristengasse,52,Wien,1080,restaurant,Mo-Fr 08:00-24:00; Sa-Su 09:00-24:00
308111492,Centimeter I,16.3539604,48.2105322,Lenaugasse,11,Wien,1080,restaurant,Mo-Su 10:00-24:00
315892697,doeat,16.343172,48.20772,Lerchenfelder Straße,112,Wien,1080,restaurant,"Mo,Tu,Th,Fr 11:00-15:00, Mo-Fr 17:00-22:00, PH,Sa,Su 12:00-22:00"
315893530,Zakopane,16.3412741,48.2081797,Lerchenfelder Straße,138,Wien,1080,restaurant,"Mo-Fr 11:00-22:00; PH,Sa,Su 12:00-22:00"
315986749,Pars,16.3408277,48.2082654,Lerchenfelder Straße,150-154,Wien,1080,persian,Mo-Sa 11:00-23:30
315986941,Strozzi,16.3491324,48.2080283,Strozzigasse,26,Wien,1080,cafe,Mo 08:30-22:00; Tu-Fr 08:30-23:00; Sa 09:00-15:00
325148691,Fromme Helene,16.3521342,48.2091717,Lange Gasse,33,Wien,1080,restaurant,Mo-Su 11:00-23:00
331584946,OnlyNoodle,16.3519564,48.2147884,Alser Straße,19,Wien,1080,asian,Mo-Su 11:00-22:00
340070539,Zur böhmischen Kuchl,16.3533238,48.2135329,Schlösselgasse,18,Wien,1080,austrian,"Mo-Fr 11:00-15:00,17:30-22:00"
342288876,Rosnovsky&Co,16.3534127,48.2107221,Buchfeldgasse,10,Wien,1080,regional,Mo-Sa 17:00-22:00
345622346,Ruffino,16.3471505,48.2100488,Schönborngasse,2,Wien,1080,pizza,"Mo-Su,PH 11:00-23:00"
401268104,Oliva Verde,16.3521658,48.211834,Florianigasse,15,Wien,1080,italian,"Mo-Fr 11:30-15:00,17:30-24:00; Sa 17:30-24:00; Su 11:30-15:00,17:30-24:00"
409230019,Living Room,16.3475406,48.2084283,Pfeilgasse,8,Wien,1080,pub,Mo-Th 18:00-02:00; Fr-Sa 18:00-04:00; Su 18:00-24:00
452422529,Konoba Dalmatia,16.346756,48.2069766,Lerchenfelder Straße,66-68,Wien,1080,restaurant,Mo-Su 17:00-24:00
477233994,Curry Insel,16.3546452,48.2096577,Lenaugasse,1A,Wien,1080,sri_lankan,"Tu-Fr 17:00-24:00; Sa, Su 11:00-24:00"
570203038,Koinonia Plus,16.3438377,48.212117,Albertgasse,39,Wien,1080,asian;korean,Mo-Su 11:30-23:30
570207500,Noodle World,16.3419392,48.2079744,Lerchenfelder Straße,130,Wien,1080,fast_food,"Mo-Fr 11:30-22:00; Sa off; PH,Su 13:30-22:00"
588084968,Loop,16.3388866,48.2094217,U-Bahn-Bogen,27,Wien,1080,bar,
631533980,La Grece,16.3510707,48.2064293,Lerchenfelder Straße,26,Wien,1080,greek,Mo-Fr 10:00-18:00
636106660,albertgasse39,16.3438849,48.2122441,Albertgasse,39,Wien,1080,bar,"Mo-Sa 09:00-02:00, Su 09:00-24:00"
636138706,Radatz,16.3452121,48.2102305,Josefstädter Straße,65,Wien,1080,fast_food,Mo-Fr 07:30-18:30; Sa 07:30-13:00
757051021,Imbiss Mina,16.3443674,48.2074685,Lerchenfelder Straße,94-98,Wien,1080,fast_food,Mo-Su 12:00-23:00
766879983,La Tavolozza,16.3484958,48.2118374,Florianigasse,37,Wien,1080,pizza,"Mo-Fr 17:00-00:30, Sa,Su,PH 12:00-00:30"
766879987,tagsüber,16.346025,48.2104698,Kupkagasse,2,Wien,1080,cafe,
766879999,Brauchbar,16.3447124,48.210026,Tigergasse,31,Wien,1080,bar,
766880008,Gerard-Tanzbar,16.3485611,48.2109596,Lederergasse,13,Wien,1080,bar,
766880016,ditta,16.3444383,48.2074556,Lerchenfelder Straße,94-98,Wien,1080,fast_food,
766880019,Salim's,16.3469687,48.2122667,Schlesingerplatz,7,Wien,1080,bar,Mo-Su 16:00-02:00
982838162,Das Lange,16.3522877,48.2087758,Lange Gasse,29,Wien,1080,pub,Mo-Sa 18:00-02:00; Su 18:00-24:00
1031098737,Heidenkummer,16.3424497,48.2142512,Breitenfelder Gasse,18,Wien,1080,regional,"Mo-Fr 10:00-24:00; Su 11:00-22:00, Jul-Aug Su off"
1129258020,Los Mexikas,16.3528714,48.2076566,Trautsongasse,12,Wien,1080,mexican,
1147794105,Schlipf&Co,16.343626,48.2076386,Albertgasse,2,Wien,1080,austrian,Mo-Fr 10:00-19:00; Sa 10:00-16:00
1153799327,Spiel Bar,16.3484757,48.2136882,Lederergasse,26,Wien,1080,mexican,
1164070449,Kaisaki Sushi,16.3493551,48.2133571,Kochgasse,15,Wien,1080,sushi,
1164180180,Zimmerservice,16.3487753,48.2081032,Strozzigasse,23-25,Wien,1080,restaurant,"Tu-Sa 09:00-23:00; PH,Su 09:00-15:00; Mo off"
1193859571,Brot und Spiele,16.3497987,48.2134073,Kochgasse,20,Wien,1080,pub,Mo-Su 18:00-02:00; Jul-Aug: Mo-Su 19:00-02:00
1216175877,Espresso MMM,16.3406915,48.2130506,Blindengasse,41,Wien,1080,pub,10:00-02:00
1298221010,flinte,16.3526882,48.207189,Lange Gasse,9,Wien,1080,bar,Th-Fr 19:00-24:00
1370226152,Tür 7,16.3533583,48.2101362,Buchfeldgasse,7,Wien,1080,bar,
1372893290,Café Florianihof,16.3468119,48.212107,Florianigasse,45,Wien,1080,cafe,"Mo-Sa 08:00-23:00; Su,PH 09:00-16:00"
1377764088,Wildling Foods,16.3521986,48.2135059,Laudongasse,8,Wien,1080,bar,
1387495310,Cafe der Provinz,16.3511627,48.2104996,Maria-Treu-Gasse,3,Wien,1080,cafe,Mo-Su 08:00-23:00
1415830157,Gastwirtschaft Blauensteiner,16.3545168,48.2093211,Lenaugasse,1,Wien,1080,regional,Mo-Su 11:00-22:30
1468212155,Grande Cocktailbar,16.3456396,48.2103581,Kupkagasse,1,Wien,1080,bar,"Mo-Th 17:00-01:00, Fr,Sa 17:00-03:00"
1540721019,Damenspitz,16.3422785,48.2105325,Stolzenthalergasse,26,Wien,1080,bar,"Mo-Th 18:00-01:00; Fr-Sa 18:00-02:00; PH,Su closed"
1544599580,Kurkonditorei Oberlaa,16.3494048,48.2094442,Josefstädter Straße,31,Wien,1080,cafe,Mo-Su 09:00-20:00
1575202605,Pizza Bussi Ciao,16.3508975,48.2076155,Piaristengasse,15,Wien,1080,pizza,Tu-We 17:00-22:00; Th-Fr 17:00-23:00; Sa 12:30-23:00; Su 12:30-22:00
1580828927,u.s.w.,16.3518487,48.2134974,Laudongasse,10,Wien,1080,bar,Mo-Th 18:00-02:00; Fr-Sa 18:00-04:00
1633245791,Cafe Zeit,16.3486434,48.2131098,Laudongasse,27,Wien,1080,cafe,Mo-Su 09:00-24:00
1660988911,Verde 1080,16.3500855,48.2094103,Josefstädter Straße,27,Wien,1080,international,Mo-We 12:00-18:00; Th 12:00-19:00; Fr 12:00-19:30
1660997102,Das Biero,16.3456392,48.2125335,Skodagasse,12,Wien,1080,pub,
1787189141,Unikat Saftbar - Fresh Juices,16.3483903,48.2097779,Josefstädter Straße,38,Wien,1080,fast_food,Mo-Fr 10:00-18:30; Sa 10:00-14:00
1787190255,Restaurant Panigl,16.3420841,48.210744,Josefstädter Straße,91,Wien,1080,italian,Mo-Fr 11:30-24:00
1846909723,Pizzeria Scarabocchio,16.3546579,48.2122061,Wickenburggasse,6,Wien,1080,pizza;italian,"Mo-Fr 11:00-23:00; PH,Sa,Su 12:30-23:00"
1886348004,Dal Toscano,16.3428958,48.2151016,Alser Straße,65,Wien,1080,italian,
1992827875,rhiz,16.3390688,48.2107552,U-Bahn-Bogen,37-38,Wien,1080,bar,
1994505300,Pizza Kebap Ezgi,16.3537999,48.2091694,Josefstädter Straße,5,Wien,1080,fast_food,"Mo-Fr 08:00-22:00; Sa 10:00-22:00; Su,PH 11:00-21:00"
1994505302,Marienhof,16.3533951,48.2091809,Josefstädter Straße,9,Wien,1080,restaurant,"Mo-Fr 11:00-23:00; PH,Sa,Su 17:30-23:00"
2000560985,Cafe Benno,16.3425866,48.2150499,Bennogasse,33,Wien,1080,restaurant,Mo-Th 16:30-00:00; Fr-Sa 16:30-02:00; Su 16:30-00:00
2122487551,Cafe Rathaus,16.3549883,48.2098183,Lenaugasse,6,Wien,1080,cafe,"Mo-Fr 08:00-23:00; Sa,Su 08:00-22:00"
2168595263,Bierkanzlei,16.341762,48.2142416,Breitenfelder Gasse,22,Wien,1080,pub,We-Th 17:00-01:00; Fr-Sa 17:00-02:00
2316808619,edison,16.3539219,48.2146792,Wickenburggasse,26,Wien,1080,restaurant,Mo-Fr 08:00-23:00; Sa 09:00-15:00; Su 10:00-15:00
2326240000,Gürtelbräu,16.3388363,48.2092216,U-Bahn-Bogen,25,Wien,1080,regional,
2329405787,Fladerei Skodagasse,16.3479299,48.2144288,Lederergasse,39,Wien,1080,pita;fladen;bier,Mo-Fr 11:00-01:00; Sa 17:00-01:00; Su 17:00-24:00
2390866729,Cafe Merkur,16.3519929,48.2120703,Florianigasse,18,Wien,1080,cafe,09:00-01:00
2445634964,Via Toledo,16.3512617,48.2132348,Laudongasse,13,Wien,1080,italian,Mo-Su 12:00-22:00
2445635068,Tisch,16.3534474,48.2126376,Schlösselgasse,8,Wien,1080,austrian;breakfast;cake;local,"Mo, Th-Fr 17:00-22:30; Sa-Su 10:00-22:30"
2503270995,Toscana,16.3457139,48.2145456,Feldgasse,10,Wien,1080,italian,Su-Fr 11:00-22:00
2527209693,Cafe Hummel,16.3437818,48.2107443,Albertgasse,27,Wien,1080,cafe,Mo-Sa 07:00-24:00; Su 08:00-24:00; PH 08:00-24:00
2527209811,Döwiener,16.3449537,48.2103006,Josefstädter Straße,67,Wien,1080,fast_food,"Mo-Fr 08:30-21:00; Sa,Su 11:00-21:00"
2527209818,Gorilla Kitchen,16.3443085,48.2104339,Albertgasse,28,Wien,1080,fast_food,Mo-Su 08:30-22:00
2529270950,Speisekammer,16.3447084,48.2099829,Tigergasse,31,Wien,1080,restaurant,
2573368281,Puerta del Sol,16.3516495,48.2115522,Lange Gasse,52,Wien,1080,tapas,Mo-Sa 18:00-24:00; PH off
2579219364,Chop Chop,16.3471466,48.2132604,Daungasse,1,Wien,1080,asian,Tu-Su 12:00-24:00
2684621259,Osteria del Salento,16.3496813,48.2120443,Kochgasse,4,Wien,1080,italian,Tu-Sa 18:00-23:00
2901356099,Polkadot,16.3438593,48.2085932,Albertgasse,12,Wien,1080,pub,"Mo-Th 19:00-01:00; Fr,Sa 19:00-03:00"
2975986751,Sakai,16.3485003,48.2120508,Florianigasse,36,Wien,1080,japanese,"Tu-Sa 12:00-14:30,18:00-22:00; Su 11:30-14:30 open ""Sushi Brunch only"""
