id,name,lat,long,addr:street,addr:housenumber,addr:city,addr:postcode,cuisine_or_amenity,opening_hours
281295823,Fischerbräu,16.3507037,48.2347063,Billrothstraße,17,Wien,1190,beer,Mo-Su 16:00-00:30
286443265,Haru,16.3541688,48.2372154,Döblinger Hauptstraße,52,Wien,1190,asian,"Mo-Fr 11:30-22:30; Sa,Su 12:00-22:30"
291576552,Skyline Lounge,16.336467,48.2745981,Am Kahlenberg,2,Wien,1190,restaurant,
294507916,Café Oberdöbling,16.3550472,48.2402074,Würthgasse,14,Wien,1190,cafe,"Mo-Fr 08:00-19:00; Sa,Su 08:00-18:00"
304983570,Figls,16.3515446,48.2541289,Grinzinger Straße,55,Wien,1190,restaurant,Mo-Su 11:30-23:00
319755259,Brandauers Bierbögen,16.3557166,48.2354255,U-Bahn-Bogen,208-212,Wien,1190,regional,Mo-Su 10:00-01:00
331467855,McDonald's,16.3422635,48.2463559,Grinzinger Allee,1A,Wien,1190,fast_food,"Mo-Th 07:00-00:00; Fr-Sa 07:00-02:00; Su,PH 08:00-00:00"
334497913,Fronza,16.3658155,48.2549346,Heiligenstädter Straße,138,Wien,1190,cafe,"Mo-Fr 12:00-22:00; Sa,Su 11:00-22:00"
336005050,Ristorante Francesco,16.3510861,48.2536398,Grinzinger Straße,50-52,Wien,1190,italian,Mo-Su 11:30-24:00
336094131,Yang Sushi & Asiatisch,16.3352119,48.2435001,Weinberggasse,42,Wien,1190,sushi;asian,
337468339,Pezis Cafe-Eck,16.3620824,48.2480884,Heiligenstädter Straße,111,Wien,1190,cafe,"Mo-Fr 09:00-22:00; Sa,Su,PH 09:00-22:00"
371798859,Blaustern,16.3545302,48.2320509,Heiligenstädter Straße,1,Wien,1190,cafe,Mo-Sa 08:00-23:00; Su 08:00-20:00
417883472,s'Eckbeisl,16.351981,48.2390935,Kreindlgasse,14,Wien,1190,regional,"Mo-Fr 11:00-23:00; Sa,Su,PH 11:00-21:00"
436382239,Weingut am Reisenberg,16.3314161,48.2597853,Oberer Reisenbergweg,15,Wien,1190,heuriger,
442046095,Café Friedl,16.341278,48.2457,Friedlgasse,63,Wien,1190,cafe,"Tu-Sa 08:00-21:30; Su 08:00-16:30; Mo,PH off"
442051738,Cafe Konditorei Oberlaa,16.3413781,48.2459865,Weinzingergasse,4,Wien,1190,cafe,"PH,Mo-Su 08:00-20:00"
442052509,Robert's Alt Sievering,16.335191,48.2464395,Sieveringer Straße,63,Wien,1190,restaurant,
442053766,Restaurant Eckel,16.333483,48.246988,Sieveringer Straße,46,Wien,1190,german,
442054259,Vorstadtprinz,16.341088,48.2460291,Weinzingergasse,4,Wien,1190,restaurant,"Mo-Sa 11:00-15:00,18:00-23:00"
463862679,Respawn,16.354187,48.2322117,U-Bahn-Bogen,185,Wien,1190,pub,
539455727,Buschenschank Taschler,16.3548762,48.2747903,Geigeringasse,6,Wien,1190,heuriger,
539649025,Athene,16.3535482,48.2538691,Grinzinger Straße,71-73,Wien,1190,greek,
566452294,Kierlinger,16.3624448,48.2585602,Kahlenberger Straße,20,Wien,1190,heuriger,
785379813,Genki Sushi,16.3651149,48.2490837,Bahnhof Heiligenstadt,,Wien,1190,fast_food,Mo-Su 11:00-22:00
828132498,Donau Fritzi,16.3670486,48.2635019,Heiligenstädter Straße,180,Wien,1190,fast_food,Mo-Su 10:00-20:00
867428501,Zum alten Nussbaum,16.3437422,48.2449176,Billrothstraße,79,Wien,1190,regional,Mo-Fr 10:00-22:00; Sa 10:00-14:00
1107533195,3 Kugel Schachinger,16.3292407,48.2480121,Sieveringer Straße,99,Wien,1190,heuriger;regional,Sa 15:00+
1166254288,Café Garage,16.3414202,48.2547204,Straßergasse,5-9,Wien,1190,cafe,Mo-Su 09:00-22:00
1166288442,Edo,16.3543121,48.2384808,Döblinger Hauptstraße,45,Wien,1190,asian,"Mo-Su,PH 11:00-22:00"
1166289576,Termeh,16.3647224,48.2546918,Grinzinger Straße,139,Wien,1190,restaurant,Mo-Su 12:00-23:00
1166298735,Gingersushi,16.3542744,48.2536583,Grinzinger Straße,72,Wien,1190,sushi,Su-Fr 12:00-21:30; Sa 17:00-21:30
1166298739,Cocktailbar,16.3540775,48.2536376,Grinzinger Straße,72,Wien,1190,bar,Mo-Sa 21:00-04:00; Su off
1166326830,Da Contessa,16.3641864,48.2517309,Karl-Marx-Hof,,Wien,1190,italian,Mo-Su 11:00-23:00
1166348216,Gasthof zum Renner,16.3662134,48.259858,Nußdorfer Platz,3,Wien,1190,restaurant,Tu-Sa 11:30-23:00; Su 11:30-22:00
1166348323,Das Nussdorf,16.3666519,48.2604553,Heiligenstädter Straße,201,Wien,1190,restaurant,
1167754739,Gelateria Dolcezza,16.355644,48.2413813,Döblinger Hauptstraße,86,Wien,1190,ice_cream,"Mo-Fr 11:00-21:00; Sa,Su 12:00-22:00"
1167791096,Grinzing Heuriger Rudolfshof,16.3418064,48.2559985,Cobenzlgasse,8,Wien,1190,cafe,"PH,Mo-Su 09:00-18:00"
1167791100,Gießbach Café,16.3420476,48.2558878,Cobenzlgasse,6,Wien,1190,cafe,We-Su 09:00-22:00
1360128748,Schübl-Auer,16.3621081,48.2586965,Zahnradbahnstraße,13A,Wien,1190,heuriger,Tu-Sa 15:30-24:00; Su 12:00-22:00; Mo off
1363106445,Shusi Wong,16.3203568,48.2436707,Glanzinggasse,67,Wien,1190,chinese,
1366488393,Unders,16.3542041,48.2330272,Glatzgasse,4,Wien,1190,bar,Tu-Th 18:00-02:00; Fr-Sa 18:00-04:00
1438248418,ManKan,16.349239,48.236929,Hardtgasse,2-4,Wien,1190,fast_food,"Mo-Fr 08:00-20:00; Sa,Su 10:00-20:00"
1438259632,"Beisl ""Zur Gruam""",16.3340269,48.24157,Saileräckergasse,32,Wien,1190,pub,
1438264958,Falkensteiner Weinstube,16.33414,48.24258,Rodlergasse,17A,Wien,1190,bar,
1438302017,Si Si Pizza,16.3493949,48.236539,Billrothstraße,18,Wien,1190,fast_food,"Mo-Su,PH 11:00-01:30"
1438302100,Urban Brothers,16.3526946,48.2347741,Schegargasse,20,Wien,1190,pizza,"PH,Mo-Su 11:00-23:00"
1438302115,Teka Sushi,16.3516968,48.2338924,Pestalozzihof,,Wien,1190,sushi,"PH,Su-Fr 17:00-22:00; Sa off"
1438302120,Monte Christo,16.3533509,48.2354878,Döblinger Hauptstraße,34,Wien,1190,italian_pizza,"Mo-Fr 11:30-15:00,18:00-23:00; Sa,Su 11:30-23:00"
1439061843,Limoncello,16.3525717,48.2343379,Döblinger Hauptstraße,7B,Wien,1190,cafe,"Mo-Fr 10:00-19:00; Sa,Su 12:00-18:00"
1439072542,Il Nobile,16.3491048,48.2385386,Chimanistraße,1,Wien,1190,italian,"Mo-Th 09:00-24:00, Fr,Sa 09:00-02:00, Su 09:00-24:00"
1439072552,Cafe Patisserie Kolbinger-Wannenmacher,16.348782,48.2400896,Billrothstraße,57,Wien,1190,cafe,"Mo,We,Fr 07:30-18:30; Tu,Th 07:30-15:00; Sa,Su,PH off"
1439073883,Mama Konstantina,16.353033,48.2356009,Döblinger Hauptstraße,17,Wien,1190,greek,"Mo, Tu, Th, Fr 18:00-22:00"
1666900669,Narin Imbiss,16.3328455,48.2371305,Peter-Jordan-Straße,vor 82,Wien,1190,fast_food,11:00-??
1672773326,Cafe Nest,16.3237038,48.25111,Sieveringer Straße,116A,Wien,1190,cafe,We-Su 09:00-19:00
1715099734,Capri - ristorante e pizzeria,16.3250632,48.2495828,Sieveringer Straße,141,Wien,1190,italian,Mo-Su 11:00-23:00
1759857699,Firato Imbiss,16.3344383,48.2372332,Nedergasse,27,Wien,1190,fast_food,"Mo-Fr 08:00-22:00; Sa,Su 09:00-21:00"
1833053682,Pizzeria Mamanoso,16.3538098,48.2336891,Pantzergasse,4,Wien,1190,fast_food,
1836979093,Café 19,16.332964,48.24424,Görgengasse,23A,Wien,1190,cafe,
1894638487,Gelati da Salvo,16.3420077,48.2432425,Obkirchergasse,26,Wien,1190,cafe,"PH,Mo-Su 10:00-19:00"
1907118691,Cafe Madlik,16.3489824,48.2359889,Gymnasiumstraße,68,Wien,1190,cafe,
1970228875,Heuriger Muth,16.356793,48.2548648,Probusgasse,10,Wien,1190,heuriger,
1972993539,Techno Kebap,16.3532935,48.2362506,Döblinger Hauptstraße,23-25,Wien,1190,fast_food,"Mo-Su,PH 11:00-22:00"
1973833050,Isola Verde,16.3499967,48.2466667,Silbergasse,24,Wien,1190,italian,"11:30-14:30,17:30-22:00"
1976676038,Buschenschank Zawodsky,16.3302696,48.2535234,Reinischgasse,3,Wien,1190,buschenschank,
